teta  eps_rr  eps_tt  eps_rt  
92.956673    0.08123694  -0.03525669  0.13487632
93.059805    0.08117234  -0.03548561  0.13401250
93.162937    0.08110732  -0.03571147  0.13315384
93.266070    0.08104187  -0.03593431  0.13230029
93.369202    0.08097600  -0.03615415  0.13145184
93.472335    0.08090970  -0.03637102  0.13060846
93.575467    0.08084299  -0.03658495  0.12977010
93.678600    0.08077585  -0.03679596  0.12893674
93.781732    0.08070829  -0.03700409  0.12810836
93.884864    0.08064031  -0.03720935  0.12728490
93.987997    0.08057192  -0.03741177  0.12646636
94.091129    0.08050311  -0.03761139  0.12565269
94.194262    0.08043389  -0.03780822  0.12484387
94.297394    0.08036425  -0.03800230  0.12403986
94.400526    0.08029420  -0.03819365  0.12324063
94.503659    0.08022374  -0.03838228  0.12244615
94.606791    0.08015287  -0.03856824  0.12165640
94.709924    0.08008159  -0.03875154  0.12087133
94.813056    0.08000990  -0.03893221  0.12009092
94.916188    0.07993781  -0.03911026  0.11931514
95.019321    0.07986531  -0.03928574  0.11854396
95.122453    0.07979240  -0.03945865  0.11777735
95.225586    0.07971909  -0.03962903  0.11701528
95.328718    0.07964538  -0.03979690  0.11625771
95.431850    0.07957127  -0.03996227  0.11550462
95.534983    0.07949675  -0.04012518  0.11475598
95.638115    0.07942184  -0.04028565  0.11401175
95.741248    0.07934653  -0.04044369  0.11327191
95.844380    0.07927082  -0.04059933  0.11253643
95.947512    0.07919472  -0.04075260  0.11180527
96.050645    0.07911822  -0.04090351  0.11107842
96.153777    0.07904133  -0.04105209  0.11035583
96.256910    0.07896404  -0.04119835  0.10963748
96.360042    0.07888637  -0.04134233  0.10892334
96.463174    0.07880830  -0.04148403  0.10821339
96.566307    0.07872984  -0.04162348  0.10750759
96.669439    0.07865100  -0.04176071  0.10680591
96.772572    0.07857176  -0.04189572  0.10610833
96.875704    0.07849214  -0.04202855  0.10541481
96.978836    0.07841214  -0.04215921  0.10472533
97.081969    0.07833175  -0.04228772  0.10403987
97.185101    0.07825097  -0.04241410  0.10335839
97.288234    0.07816982  -0.04253837  0.10268086
97.391366    0.07808828  -0.04266055  0.10200726
97.494498    0.07800637  -0.04278066  0.10133756
97.597631    0.07792407  -0.04289871  0.10067174
97.700763    0.07784139  -0.04301473  0.10000975
97.803896    0.07775834  -0.04312873  0.09935159
97.907028    0.07767491  -0.04324074  0.09869722
98.010160    0.07759111  -0.04335076  0.09804662
98.113293    0.07750693  -0.04345882  0.09739975
98.216425    0.07742238  -0.04356494  0.09675660
