(sec),(mm),(kgf)
58.9,3.92678,3.54597
59,3.93327,3.53261
59.1,3.93985,3.54137
59.2,3.94677,3.52306
59.3,3.95335,3.52142
59.4,3.95994,3.53298
59.5,3.96675,3.5438
59.6,3.97334,3.53863
59.7,3.97993,3.56161
59.8,3.98673,3.55527
59.9,3.99332,3.5325
60,3.99996,3.55749
60.1,4.00677,3.55491
60.2,4.01335,3.5676
60.3,4.02,3.55744
60.4,4.02669,3.54462
60.5,4.03339,3.55742
60.6,4.04003,3.56187
60.7,4.04662,3.56699
60.8,4.05327,3.57484
60.9,4.06012,3.58536
61,4.0666,3.58923
61.1,4.07325,3.5904
61.2,4.0801,3.59152
61.3,4.08669,3.59632
61.4,4.09328,3.60291
61.5,4.10003,3.58457
61.6,4.10662,3.58673
61.7,4.11327,3.60806
61.8,4.12012,3.63244
61.9,4.12671,3.61001
62,4.1333,3.60176
62.1,4.14016,3.61057
62.2,4.14669,3.61115
62.3,4.15323,3.62946
62.4,4.15998,3.60693
62.5,4.16673,3.61261
62.6,4.17332,3.62886
62.7,4.18007,3.63069
62.8,4.18666,3.64856
62.9,4.19335,3.63537
63,4.2,3.63395
63.1,4.20653,3.63547
63.2,4.21334,3.62709
63.3,4.22003,3.64915
63.4,4.22668,3.64519
63.5,4.23343,3.63846
63.6,4.23996,3.64131
63.7,4.2466,3.64291
63.8,4.25341,3.66012
63.9,4.25989,3.63986
64,4.26653,3.66986
64.10001,4.2735,3.636
64.2,4.28003,3.65698
64.3,4.28657,3.65354
64.4,4.29343,3.69147
64.5,4.30007,3.66582
64.60001,4.3066,3.67528
64.7,4.31335,3.67259
64.8,4.32,3.69609
64.9,4.32664,3.70461
65,4.33339,3.69971
65.10001,4.34003,3.68492
65.2,4.34668,3.68752
65.3,4.35343,3.68992
65.4,4.35996,3.68557
65.5,4.3666,3.68724
65.60001,4.3733,3.67276
65.70001,4.37994,3.70436
65.8,4.38669,3.71371
65.9,4.39334,3.70175
66,4.39993,3.6981
66.10001,4.40678,3.70476
66.20001,4.41326,3.72938
66.3,4.41985,3.71634
66.4,4.42671,3.7214
66.5,4.4333,3.72576
66.60001,4.44,3.70997
66.70001,4.4468,3.70699
66.8,4.45328,3.73712
66.9,4.45998,3.74212
